meae_id,type,congress,state,geography,level,election_id,election_office,district,year,election_type
meae.congressional.congress11.sc.county,congressional,11,SC,county,state,sc.uscongress.district1.1808,U.S. House of Representatives,1,1808,general
meae.congressional.congress12.sc.county,congressional,12,SC,county,state,sc.uscongress.sumter.1810,U.S. House of Representatives,5,1810,general
meae.congressional.congress12.sc.county,congressional,12,SC,county,state,sc.uscongress.pendleton.1810,U.S. House of Representatives,8,1810,general
meae.congressional.congress12.sc.county,congressional,12,SC,county,state,sc.uscongress.orangeburgh.1810,U.S. House of Representatives,4,1810,general
meae.congressional.congress12.sc.county,congressional,12,SC,county,state,sc.uscongress.newberry.1810,U.S. House of Representatives,6,1810,general
meae.congressional.congress12.sc.county,congressional,12,SC,county,state,sc.uscongress.georgetown.1810,U.S. House of Representatives,3,1810,general
meae.congressional.congress12.sc.county,congressional,12,SC,county,state,sc.uscongress.edgefield.1810,U.S. House of Representatives,2,1810,general
meae.congressional.congress12.sc.county,congressional,12,SC,county,state,sc.uscongress.chester.1810,U.S. House of Representatives,7,1810,general
meae.congressional.congress12.sc.county,congressional,12,SC,county,state,sc.uscongress.charleston.1810,U.S. House of Representatives,1,1810,general
meae.congressional.congress13.sc.county,congressional,13,SC,county,state,sc.uscongress.sumter.1812,U.S. House of Representatives,9,1812,general
meae.congressional.congress13.sc.county,congressional,13,SC,county,state,sc.uscongress.pendleton.1812,U.S. House of Representatives,7,1812,general
meae.congressional.congress13.sc.county,congressional,13,SC,county,state,sc.uscongress.orangeburg.1812,U.S. House of Representatives,4,1812,general
meae.congressional.congress13.sc.county,congressional,13,SC,county,state,sc.uscongress.newberry.1812,U.S. House of Representatives,5,1812,general
meae.congressional.congress13.sc.county,congressional,13,SC,county,state,sc.uscongress.georgetown.1812,U.S. House of Representatives,3,1812,general
meae.congressional.congress13.sc.county,congressional,13,SC,county,state,sc.uscongress.edgefield.1812,U.S. House of Representatives,6,1812,general
meae.congressional.congress13.sc.county,congressional,13,SC,county,state,sc.uscongress.chester.1812,U.S. House of Representatives,8,1812,general
meae.congressional.congress13.sc.county,congressional,13,SC,county,state,sc.uscongress.charleston.1812,U.S. House of Representatives,1,1812,general
