congbio_member_name,congbio_position,congbio_party,congbio_state,congbio_birth,congbio_death,congbio_congress,join_name,congbio_id,congbio_url,name_id
"Blaisdell, Daniel",Representative,Federalist,NH,1762,1833,11,Daniel Blaisdell,B000530,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000530,BD0070
"Brown, John",Representative,Republican,MD,NA,1815,11,John Brown,B000928,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000928,BJ0274
"Breckinridge, James",Representative,Federalist,VA,1763,1833,11,James Breckinridge,B000785,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000785,BJ1431
"Barry, William Taylor",Representative,Democratic Republican,KY,1784,1835,11,William Taylor Barry,B000192,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000192,BW0082
"Baylies, William",Representative,Federalist,MA,1776,1865,11,William Baylies,B000256,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000256,BW0156
"Campbell, Alexander",Senator,Democratic Republican,OH,1779,1857,11,Alexander Campbell,C000076,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000076,CA0083
"Cutts, Charles",Senator,Democratic Republican,NH,1769,1846,11,Charles Cutts,C001031,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001031,CC0034
"Crist, Henry",Representative,Republican,KY,1764,1844,11,Henry Crist,C000910,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000910,CH0038
"Chamberlain, John Curtis",Representative,Federalist,NH,1772,1834,11,John Curtis Chamberlain,C000279,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000279,CJ0381
"Cox, James",Representative,Republican,NJ,1753,1810,11,James Cox,C000834,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000834,CJ0405
"Cochran, James",Representative,Republican,NC,1767,1813,11,James Cochran,C000564,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000564,CJ0481
"Cheves, Langdon",Representative,Republican,SC,1776,1857,11,Langdon Cheves,C000350,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000350,CL0067
"Crawford, William",Representative,Republican,PA,1760,1823,11,William Crawford,C000894,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000894,CW0003
"Denning, William",Representative,Republican,NY,1740,1819,11,William Denning,D000240,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000240,DW0080
"Emott, James",Representative,Federalist,NY,1771,1850,11,James Emott,E000176,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000176,EJ0125
"Fisk, Jonathan",Representative,Republican,NY,1778,1832,11,Jonathan Fisk,F000155,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000155,FJ0199
"Gannett, Barzillai",Representative,Republican,MA,1764,1832,11,Barzillai Gannett,G000039,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000039,GB0014
"Garland, David Shepherd",Representative,Republican,VA,1769,1841,11,David Shepherd Garland,G000066,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000066,GD0070
"Gardner, Gideon",Representative,Republican,MA,1759,1832,11,Gideon Gardner,G000054,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000054,GG0013
"German, Obadiah",Senator,Democratic Republican,NY,1766,1842,11,Obadiah German,G000136,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000136,GO0001
"Gold, Thomas Ruggles",Representative,Federalist,NY,1764,1827,11,Thomas Ruggles Gold,G000257,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000257,GT0056
"Hiester, Daniel",Representative,Republican,PA,1774,1834,11,Daniel Hiester,H000571,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000571,HD0024
"Huntington, Ebenezer",Representative,Federalist,CT,1754,1834,11,Ebenezer Huntington,H000996,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000996,HE0008
"Hufty, Jacob",Representative,Federalist,NJ,NA,1814,11,Jacob Hufty,H000914,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000914,HJ0423
"Hubbard, Jonathan Hatch",Representative,Federalist,VT,1768,1849,11,Jonathan Hatch Hubbard,H000886,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000886,HJ1289
"Haven, Nathaniel Appleton",Representative,Federalist,NH,1762,1831,11,Nathaniel Appleton Haven,H000354,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000354,HN0031
"Horsey, Outerbridge",Senator,Federalist,DE,1777,1842,11,Outerbridge Horsey,H000795,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000795,HO0000
"Hale, William",Representative,Federalist,NH,1765,1848,11,William Hale,H000039,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000039,HW0187
"Knickerbocker, Herman",Representative,Federalist,NY,1779,1855,11,Herman Knickerbocker,K000282,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000282,KH0029
"Lyle, Aaron",Representative,Republican,PA,1759,1825,11,Aaron Lyle,L000524,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000524,LA0096
"Livingston, Robert Le Roy",Representative,Federalist,NY,1778,1836,11,Robert Le Roy Livingston,L000370,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000370,LR0024
"Mckim, Alexander",Representative,Republican,MD,1748,1832,11,Alexander Mckim,M000515,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000515,MA0045
