town,state,lat,lon,id,administrative_area_level_3,administrative_area_level_2
Gates,New York,43.1480944,-77.7223162,NA,Gates,Monroe County
Genoa,New York,42.6678489,-76.5357741,NA,Genoa,Cayuga County
Ger. Flatts,New York,42.9777988,-74.9793243,NA,German Flatts,Herkimer County
German,New York,42.5045167,-75.8301537,NA,German,Chenango County
German Flats,New York,42.9777988,-74.9793243,NA,German Flatts,Herkimer County
German Flatts,New York,42.9777988,-74.9793243,NA,German Flatts,Herkimer County
German Town,New York,42.13540417611067,-73.876190185546875,NA,NA,New York County
German-Flatts,New York,42.9777988,-74.9793243,NA,German Flatts,Herkimer County
Germanflatts,New York,42.9777988,-74.9793243,NA,German Flatts,Herkimer County
Germantown,New York,42.1345339,-73.8917982,NA,Germantown,Columbia County
Glenville,New York,42.9292419,-74.0520717,NA,Glenville,Schenectady County
Grafton,New York,42.768967,-73.4509464,NA,Grafton,Rensselaer County
Granger,New York,42.4851233,-77.9967043,NA,Granger,Allegany County
Graves End,New York,40.5910166,-73.977126,NA,NA,Kings County
Gravesend,New York,40.5910166,-73.977126,NA,NA,Kings County
Great Valley,New York,42.2145087,-78.636417,NA,Great Valley,Cattaraugus County
Greece,New York,43.2097837,-77.6930602,NA,Greece,Monroe County
Green,New York,42.334184385939416,-75.75897216796875,NA,Green Township,Hocking County
Greenburgh,New York,41.0339576,-73.8654295,NA,Greenburgh,Westchester County
Greenbush,New York,42.6464644,-74.4437504,NA,Cobleskill,Schoharie County
Greene,New York,42.3292408,-75.7699147,NA,Greene,Chenango County
Greeneland,New York,43.0721825,-76.1412005,NA,NA,Onondaga County
Greeneville,New York,42.38821933390688,-74.00201797485352,NA,Greenburgh,Westchester County
Greenfield,New York,43.1036852,-73.8640118,NA,Greenfield,Saratoga County
Greenland,New York,43.0721825,-76.1412005,NA,NA,Onondaga County
Greensburgh,New York,41.03482303148103,-73.86576175689697,NA,Athens,Greene County
Greensville,New York,42.388092545721044,-73.99824142456055,NA,Greenburgh,Westchester County
Greenville,New York,42.386951440524854,-73.999786376953125,NA,Greenburgh,Westchester County
Greenwich,New York,43.0901395,-73.4992824,NA,Greenwich,Washington County
