candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote,ahcb_county,id,fips
2,Suffolk,ny.uscongress1.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Joshua Sands,SJ0646,Federalist,A01,44,SUFFOLK,nys_suffolk,36103
3,Suffolk,ny.uscongress1.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Harry Peters,PH0027,Federalist,A01,30,SUFFOLK,nys_suffolk,36103
1,Herkimer,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Silas Talbot,TS0063,Federalist,A01,319,HERKIMER,nys_herkimer,36043
2,Herkimer,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,William Cooper,CW0154,Federalist,A01,55,HERKIMER,nys_herkimer,36043
3,Herkimer,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,John Winn,WJ0414,Republican,A03,18,HERKIMER,nys_herkimer,36043
4,Herkimer,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Andrew Fink,FA0037,Republican,A03,NA,HERKIMER,nys_herkimer,36043
5,Herkimer,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Josiah Crane,CJ0466,Republican,A03,NA,HERKIMER,nys_herkimer,36043
1,Montgomery,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Silas Talbot,TS0063,Federalist,A01,674,MONTGOMERY,nys_montgomery,36057
2,Montgomery,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,William Cooper,CW0154,Federalist,A01,15,MONTGOMERY,nys_montgomery,36057
3,Montgomery,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,John Winn,WJ0414,Republican,A03,482,MONTGOMERY,nys_montgomery,36057
4,Montgomery,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Andrew Fink,FA0037,Republican,A03,NA,MONTGOMERY,nys_montgomery,36057
5,Montgomery,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Josiah Crane,CJ0466,Republican,A03,NA,MONTGOMERY,nys_montgomery,36057
1,Ontario,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Silas Talbot,TS0063,Federalist,A01,7,ONTARIO,nys_ontario,36069
2,Ontario,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,William Cooper,CW0154,Federalist,A01,83,ONTARIO,nys_ontario,36069
3,Ontario,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,John Winn,WJ0414,Republican,A03,NA,ONTARIO,nys_ontario,36069
4,Ontario,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Andrew Fink,FA0037,Republican,A03,NA,ONTARIO,nys_ontario,36069
5,Ontario,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Josiah Crane,CJ0466,Republican,A03,NA,ONTARIO,nys_ontario,36069
1,Otsego,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,Silas Talbot,TS0063,Federalist,A01,14,OTSEGO,nys_otsego,36077
2,Otsego,ny.uscongress10.1793,1793,1793,General,"New York 1793 U.S. House of Representatives, District 10",U.S. House of Representatives,ON125,William Cooper,CW0154,Federalist,A01,790,OTSEGO,nys_otsego,36077
